window_id,room,video,label,start_frame,window_length,onset_frame,fps
0,Coffee_room_01,video (1),1,20,15,47,25.0
1,Coffee_room_01,video (1),1,30,15,47,25.0
2,Coffee_room_01,video (1),2,40,15,47,25.0
3,Coffee_room_01,video (1),2,50,15,47,25.0
4,Coffee_room_01,video (1),2,60,15,47,25.0
5,Coffee_room_01,video (1),2,70,15,47,25.0
6,Coffee_room_01,video (1),0,80,15,47,25.0
7,Coffee_room_01,video (1),0,90,15,47,25.0
8,Coffee_room_01,video (1),0,100,15,47,25.0
9,Coffee_room_01,video (1),0,110,15,47,25.0
10,Coffee_room_01,video (1),0,120,15,47,25.0
11,Coffee_room_01,video (1),0,130,15,47,25.0
12,Coffee_room_01,video (1),0,140,15,47,25.0
13,Coffee_room_01,video (10),0,20,15,210,25.0
14,Coffee_room_01,video (10),0,30,15,210,25.0
15,Coffee_room_01,video (10),0,40,15,210,25.0
16,Coffee_room_01,video (10),0,50,15,210,25.0
17,Coffee_room_01,video (10),0,60,15,210,25.0
18,Coffee_room_01,video (10),0,70,15,210,25.0
19,Coffee_room_01,video (10),0,80,15,210,25.0
20,Coffee_room_01,video (10),0,90,15,210,25.0
21,Coffee_room_01,video (10),0,100,15,210,25.0
22,Coffee_room_01,video (10),0,110,15,210,25.0
23,Coffee_room_01,video (10),0,120,15,210,25.0
24,Coffee_room_01,video (10),0,130,15,210,25.0
25,Coffee_room_01,video (10),0,140,15,210,25.0
26,Coffee_room_01,video (10),0,150,15,210,25.0
27,Coffee_room_01,video (10),0,160,15,210,25.0
28,Coffee_room_01,video (10),0,170,15,210,25.0
29,Coffee_room_01,video (10),1,180,15,210,25.0
30,Coffee_room_01,video (10),1,190,15,210,25.0
31,Coffee_room_01,video (10),1,200,15,210,25.0
32,Coffee_room_01,video (10),2,210,15,210,25.0
33,Coffee_room_01,video (10),2,220,15,210,25.0
34,Coffee_room_01,video (10),2,230,15,210,25.0
35,Coffee_room_01,video (10),0,260,15,210,25.0
36,Coffee_room_01,video (10),0,290,15,210,25.0
37,Coffee_room_01,video (10),0,300,15,210,25.0
38,Coffee_room_01,video (10),0,310,15,210,25.0
39,Coffee_room_01,video (10),0,340,15,210,25.0
40,Coffee_room_01,video (11),0,40,15,374,25.0
41,Coffee_room_01,video (11),0,50,15,374,25.0
42,Coffee_room_01,video (11),0,60,15,374,25.0
43,Coffee_room_01,video (11),0,70,15,374,25.0
44,Coffee_room_01,video (11),0,80,15,374,25.0
45,Coffee_room_01,video (11),0,90,15,374,25.0
46,Coffee_room_01,video (11),0,100,15,374,25.0
47,Coffee_room_01,video (11),0,110,15,374,25.0
48,Coffee_room_01,video (11),0,120,15,374,25.0
49,Coffee_room_01,video (11),0,130,15,374,25.0
50,Coffee_room_01,video (11),0,140,15,374,25.0
51,Coffee_room_01,video (11),0,150,15,374,25.0
52,Coffee_room_01,video (11),0,160,15,374,25.0
53,Coffee_room_01,video (11),0,170,15,374,25.0
54,Coffee_room_01,video (11),0,180,15,374,25.0
55,Coffee_room_01,video (11),0,190,15,374,25.0
56,Coffee_room_01,video (11),0,200,15,374,25.0
57,Coffee_room_01,video (11),0,210,15,374,25.0
58,Coffee_room_01,video (11),0,220,15,374,25.0
59,Coffee_room_01,video (11),0,230,15,374,25.0
60,Coffee_room_01,video (11),0,240,15,374,25.0
61,Coffee_room_01,video (11),0,250,15,374,25.0
62,Coffee_room_01,video (11),0,260,15,374,25.0
63,Coffee_room_01,video (11),0,270,15,374,25.0
64,Coffee_room_01,video (11),0,280,15,374,25.0
65,Coffee_room_01,video (11),0,290,15,374,25.0
66,Coffee_room_01,video (11),0,300,15,374,25.0
67,Coffee_room_01,video (11),0,310,15,374,25.0
68,Coffee_room_01,video (11),0,320,15,374,25.0
69,Coffee_room_01,video (11),0,330,15,374,25.0
70,Coffee_room_01,video (11),1,340,15,374,25.0
71,Coffee_room_01,video (11),1,350,15,374,25.0
72,Coffee_room_01,video (11),1,360,15,374,25.0
73,Coffee_room_01,video (11),2,370,15,374,25.0
74,Coffee_room_01,video (11),2,380,15,374,25.0
75,Coffee_room_01,video (11),2,390,15,374,25.0
76,Coffee_room_01,video (11),0,400,15,374,25.0
77,Coffee_room_01,video (11),0,410,15,374,25.0
78,Coffee_room_01,video (11),0,420,15,374,25.0
79,Coffee_room_01,video (11),0,430,15,374,25.0
80,Coffee_room_01,video (11),0,440,15,374,25.0
81,Coffee_room_01,video (11),0,450,15,374,25.0
82,Coffee_room_01,video (11),0,460,15,374,25.0
83,Coffee_room_01,video (12),0,0,15,52,25.0
84,Coffee_room_01,video (12),0,10,15,52,25.0
85,Coffee_room_01,video (12),1,20,15,52,25.0
86,Coffee_room_01,video (12),1,30,15,52,25.0
87,Coffee_room_01,video (12),1,40,15,52,25.0
88,Coffee_room_01,video (12),0,70,15,52,25.0
89,Coffee_room_01,video (12),0,80,15,52,25.0
90,Coffee_room_01,video (12),0,90,15,52,25.0
91,Coffee_room_01,video (12),0,100,15,52,25.0
92,Coffee_room_01,video (12),0,110,15,52,25.0
93,Coffee_room_01,video (12),0,120,15,52,25.0
94,Coffee_room_01,video (12),0,130,15,52,25.0
95,Coffee_room_01,video (12),0,140,15,52,25.0
96,Coffee_room_01,video (12),0,150,15,52,25.0
97,Coffee_room_01,video (12),0,160,15,52,25.0
98,Coffee_room_01,video (13),0,0,15,95,25.0
99,Coffee_room_01,video (13),0,10,15,95,25.0
100,Coffee_room_01,video (13),0,20,15,95,25.0
101,Coffee_room_01,video (13),0,30,15,95,25.0
102,Coffee_room_01,video (13),0,40,15,95,25.0
103,Coffee_room_01,video (13),0,50,15,95,25.0
104,Coffee_room_01,video (13),1,60,15,95,25.0
105,Coffee_room_01,video (13),1,70,15,95,25.0
106,Coffee_room_01,video (13),1,80,15,95,25.0
107,Coffee_room_01,video (13),2,90,15,95,25.0
108,Coffee_room_01,video (13),2,100,15,95,25.0
109,Coffee_room_01,video (13),0,130,15,95,25.0
110,Coffee_room_01,video (13),0,140,15,95,25.0
111,Coffee_room_01,video (13),0,150,15,95,25.0
112,Coffee_room_01,video (13),0,160,15,95,25.0
113,Coffee_room_01,video (13),0,170,15,95,25.0
114,Coffee_room_01,video (13),0,180,15,95,25.0
115,Coffee_room_01,video (13),0,190,15,95,25.0
116,Coffee_room_01,video (13),0,200,15,95,25.0
117,Coffee_room_01,video (13),0,210,15,95,25.0
118,Coffee_room_01,video (13),0,220,15,95,25.0
119,Coffee_room_01,video (14),0,0,15,51,25.0
120,Coffee_room_01,video (14),0,10,15,51,25.0
121,Coffee_room_01,video (14),1,20,15,51,25.0
122,Coffee_room_01,video (14),1,30,15,51,25.0
123,Coffee_room_01,video (14),1,40,15,51,25.0
124,Coffee_room_01,video (14),2,50,15,51,25.0
125,Coffee_room_01,video (14),2,60,15,51,25.0
126,Coffee_room_01,video (14),0,70,15,51,25.0
127,Coffee_room_01,video (14),0,80,15,51,25.0
128,Coffee_room_01,video (14),0,90,15,51,25.0
129,Coffee_room_01,video (14),0,100,15,51,25.0
130,Coffee_room_01,video (14),0,110,15,51,25.0
131,Coffee_room_01,video (14),0,120,15,51,25.0
132,Coffee_room_01,video (14),0,130,15,51,25.0
133,Coffee_room_01,video (14),0,140,15,51,25.0
134,Coffee_room_01,video (14),0,150,15,51,25.0
135,Coffee_room_01,video (14),0,160,15,51,25.0
136,Coffee_room_01,video (15),1,10,15,47,25.0
137,Coffee_room_01,video (15),1,20,15,47,25.0
138,Coffee_room_01,video (15),1,30,15,47,25.0
139,Coffee_room_01,video (15),2,40,15,47,25.0
