Joint1_X,Joint1_Y,Joint1_Z,Joint2_X,Joint2_Y,Joint2_Z,Joint3_X,Joint3_Y,Joint3_Z,Joint4_X,Joint4_Y,Joint4_Z,Joint5_X,Joint5_Y,Joint5_Z,Joint6_X,Joint6_Y,Joint6_Z,Joint7_X,Joint7_Y,Joint7_Z,Joint8_X,Joint8_Y,Joint8_Z,Joint9_X,Joint9_Y,Joint9_Z,Joint10_X,Joint10_Y,Joint10_Z,Joint11_X,Joint11_Y,Joint11_Z,Joint12_X,Joint12_Y,Joint12_Z,Joint13_X,Joint13_Y,Joint13_Z,Joint14_X,Joint14_Y,Joint14_Z,Joint15_X,Joint15_Y,Joint15_Z,Joint16_X,Joint16_Y,Joint16_Z,Joint17_X,Joint17_Y,Joint17_Z,Joint18_X,Joint18_Y,Joint18_Z,Joint19_X,Joint19_Y,Joint19_Z,Joint20_X,Joint20_Y,Joint20_Z,Joint21_X,Joint21_Y,Joint21_Z,Joint22_X,Joint22_Y,Joint22_Z,Joint23_X,Joint23_Y,Joint23_Z,Joint24_X,Joint24_Y,Joint24_Z,Joint25_X,Joint25_Y,Joint25_Z,Joint26_X,Joint26_Y,Joint26_Z,Joint27_X,Joint27_Y,Joint27_Z,Joint28_X,Joint28_Y,Joint28_Z,Joint29_X,Joint29_Y,Joint29_Z,Joint30_X,Joint30_Y,Joint30_Z,Joint31_X,Joint31_Y,Joint31_Z,Joint32_X,Joint32_Y,Joint32_Z,Joint33_X,Joint33_Y,Joint33_Z,LABEL
0.62813139,0.488517672,-0.000639783,0.635244787,0.471074998,0.001997682,0.639927089,0.470357388,-0.003937264,0.644576132,0.469671637,-0.001507849,0.622868896,0.471319824,8.43E-05,0.618638217,0.470821738,0.000135203,0.614432037,0.470349282,-0.001631427,0.653198242,0.466234088,0.000412116,0.610824108,0.467020571,0.000983368,0.637383282,0.498515189,0.000736148,0.622635007,0.498855591,0.000787443,0.680113792,0.530886769,-0.166517213,0.58671397,0.532667696,-0.182357341,0.690458834,0.632771015,-0.085696474,0.57523483,0.63105464,-0.099916205,0.697900712,0.729777694,-0.122837603,0.57778275,0.725628078,-0.178174928,0.703590035,0.758940697,-0.116508618,0.573984087,0.755295515,-0.170501903,0.698975205,0.760399342,-0.130121931,0.580413997,0.755679786,-0.186697423,0.691531956,0.748446226,-0.128279403,0.586710572,0.743696928,-0.182801366,0.659592807,0.714413881,-0.014017086,0.603435993,0.71768707,0.008649145,0.668013036,0.842029035,0.053718351,0.60233897,0.846989512,0.066636875,0.680932879,0.959311247,0.121738583,0.598795831,0.956178963,0.149762034,0.678620517,0.9811396,0.128761336,0.601537108,0.975483656,0.167856604,0.692629933,1.006188393,0.119429432,0.599417448,1.004109263,0.153330073,0
0.621812463,0.483288974,-0.001333734,0.628347337,0.465925634,0.001675217,0.632934988,0.465185016,-0.003796675,0.63748914,0.464461446,-0.001450024,0.616330743,0.466366559,-0.000185415,0.612112761,0.465940088,0.000273437,0.607923567,0.465533167,-0.001684343,0.645727217,0.463959157,0.000143351,0.604113936,0.465284467,0.001035166,0.631325185,0.492358446,0.000838336,0.615442514,0.492886484,0.001016573,0.676954687,0.522269607,-0.168600589,0.581452608,0.529416323,-0.192718014,0.688307047,0.622083783,-0.090818919,0.573150694,0.630401194,-0.100767195,0.69349885,0.717482388,-0.137805238,0.572442591,0.724152625,-0.181145564,0.698862374,0.74604708,-0.139916316,0.567179739,0.752120197,-0.179971322,0.692688167,0.747694492,-0.153413266,0.574012995,0.75379771,-0.194464907,0.685469031,0.736516118,-0.150436804,0.580791235,0.742722452,-0.191473752,0.658723116,0.700934649,-0.008439229,0.605564237,0.702786863,0.004156667,0.652618349,0.832674682,0.052325081,0.602092326,0.833952963,0.057560034,0.649261773,0.94980967,0.13773267,0.600607991,0.944189191,0.123557806,0.644415259,0.966811717,0.152336627,0.603302896,0.958384752,0.152501911,0.661678791,1.000707388,0.145488322,0.5982517,0.997580647,0.158907756,0
0.160865083,0.958908796,-0.001431752,0.150584951,0.95653969,0.00100333,0.149462119,0.951429665,-0.002655586,0.148334414,0.946314573,-0.000993616,0.15396224,0.971148014,-0.000204778,0.155221477,0.976543248,-0.000312922,0.15648903,0.981823564,-0.001600354,0.152299687,0.939272106,0.001559113,0.163726047,0.986003339,0.000624647,0.169957653,0.945373595,0.000344553,0.174213067,0.964281201,0.000720071,0.204768822,0.888031185,-0.097131468,0.224353194,0.99184823,-0.018238174,0.285581946,0.872319758,-0.156000718,0.300708801,0.97871685,0.058145929,0.283713907,0.961208403,-0.207853153,0.359017342,0.984758914,0.043939542,0.291221082,0.986666918,-0.226558745,0.380759954,0.990867555,0.047762543,0.275697768,0.989414513,-0.225255638,0.37802279,0.988176346,0.040041037,0.275827229,0.982259333,-0.223061472,0.369819134,0.980859697,0.042718757,0.356073946,0.882808328,-0.046214413,0.358829558,0.945143223,0.058314189,0.44984296,0.947155714,-0.1720642,0.460938811,0.964475453,-0.023888292,0.562756836,0.952932775,-0.064261846,0.559652925,0.955330849,0.056034315,0.582423687,0.939675033,-0.069643088,0.57644397,0.942771435,0.06330318,0.589616299,1.003830075,-0.129223108,0.589202225,0.992886186,0.025514148,0
0.162507147,0.961471081,-0.001386126,0.151736036,0.957978547,0.000960194,0.150607035,0.952787519,-0.002695106,0.149470016,0.947594225,-0.001026529,0.154893249,0.972668111,-0.000176118,0.155953452,0.977956772,-0.000395594,0.157024443,0.98312068,-0.001713234,0.152457878,0.939448357,0.001514698,0.162989393,0.986252487,0.000600394,0.171273425,0.947766721,0.0005261,0.17510733,0.966572642,0.00069418,0.20384112,0.890916228,-0.100417383,0.221191362,0.989866555,-0.011012502,0.285366178,0.873737216,-0.165507182,0.296412796,0.978817403,0.068659402,0.284628451,0.961128116,-0.213060766,0.354839355,0.982800305,0.063954756,0.292280376,0.985524893,-0.230675951,0.37702179,0.988533616,0.071368024,0.277468801,0.988532186,-0.229575694,0.373785138,0.984367371,0.064083867,0.277552128,0.981322587,-0.227850214,0.365329057,0.977728248,0.066360667,0.353438318,0.884583116,-0.046917867,0.356315106,0.943720698,0.060918946,0.446689934,0.947302282,-0.166476414,0.458475113,0.963538766,-0.003065704,0.563657761,0.949658811,-0.068663821,0.558233261,0.954388797,0.058848247,0.585400045,0.93417418,-0.077848837,0.576099098,0.941617668,0.064551562,0.587926447,1.005361319,-0.141166538,0.585176468,0.995780885,0.026128052,0
0.160565823,0.95986867,-0.001196071,0.150841296,0.957310498,0.000978077,0.149767563,0.952456415,-0.002737165,0.148688734,0.947602868,-0.000984086,0.154247329,0.971155286,-0.000140976,0.155506924,0.97608012,-0.000514214,0.156772539,0.980871975,-0.001591266,0.152794734,0.940730751,0.001619591,0.16408588,0.983961523,0.00084668,0.169691563,0.946825564,0.000529378,0.173862785,0.964382052,0.000983597,0.204231411,0.889946818,-0.085367359,0.22587955,0.988920391,-0.002583803,0.2833215,0.874380648,-0.14822942,0.299670339,0.975296199,0.070800357,0.285384893,0.958986461,-0.194040179,0.353712022,0.984833539,0.074720956,0.294223875,0.983074725,-0.21287179,0.374512702,0.990673184,0.087723479,0.280005991,0.985672116,-0.212054446,0.370416403,0.988693595,0.081159033,0.279681981,0.978905797,-0.209835023,0.36252895,0.981893063,0.082798563,0.355037987,0.884797215,-0.048096653,0.357355952,0.945375621,0.059279803,0.453374565,0.945278585,-0.170984074,0.458750427,0.966037631,-0.011036017,0.567337215,0.948945999,-0.065943494,0.558302402,0.958827555,0.059084289,0.587869048,0.936452985,-0.073527507,0.576070487,0.947230697,0.066740923,0.591814995,1.000131249,-0.142336041,0.585649848,1.000677586,0.028912215,0
0.164405584,0.964655757,-0.001208265,0.153751314,0.96164602,0.001083048,0.152371183,0.956624508,-0.002714663,0.150982723,0.951604366,-0.00089672,0.157711133,0.975282311,-0.000207282,0.159097046,0.980137229,-0.000464345,0.160485581,0.984876573,-0.001636425,0.154156074,0.941904604,0.001487236,0.166944891,0.985738277,0.000675382,0.172309995,0.949711084,0.000493377,0.177265212,0.967752278,0.000820437,0.20385243,0.889906704,-0.085662939,0.226409927,0.983418524,-0.004591147,0.283420295,0.873573184,-0.144504294,0.300857276,0.973452508,0.063998654,0.286176145,0.959684253,-0.197085768,0.358448625,0.98505044,0.044034559,0.295373261,0.984247863,-0.216534883,0.380706698,0.992047906,0.048884597,0.280159533,0.987810791,-0.215556681,0.37753728,0.988758087,0.042733856,0.279691756,0.980799556,-0.213202178,0.369362801,0.981137455,0.044752698,0.353457868,0.885083199,-0.045878403,0.355612457,0.941292822,0.058592215,0.450394779,0.954511821,-0.163529649,0.453893274,0.962181747,-0.002272172,0.55880332,0.954358339,-0.056306243,0.55059135,0.944697201,0.062639982,0.576289117,0.940699637,-0.059358899,0.565953016,0.931121349,0.069418728,0.587952197,1.001451135,-0.112171397,0.581821144,0.980249941,0.041436236,0
0.160806596,0.961459279,-0.00123776,0.151085153,0.958379328,0.000982831,0.150075093,0.953336835,-0.002737914,0.149058864,0.948290288,-0.000871116,0.154213667,0.972266972,-0.000140014,0.155377358,0.977273583,-0.000442531,0.156546846,0.982157469,-0.001509368,0.153639778,0.940540969,0.001606744,0.163983092,0.984917402,0.00069858,0.170101076,0.948011994,0.000611375,0.174022719,0.966400027,0.000805299,0.204093367,0.89287883,-0.07686501,0.227080822,0.984965384,0.004186873,0.280786157,0.873824239,-0.143263668,0.303868115,0.97247684,0.073285349,0.283120751,0.961774051,-0.196969047,0.361102015,0.985316098,0.056159392,0.292707801,0.986145914,-0.216843605,0.383977234,0.992725849,0.063884124,0.278461307,0.990943789,-0.214888632,0.379905373,0.989761233,0.05740311,0.278225511,0.983512163,-0.212716743,0.371707678,0.982412696,0.059783764,0.354920149,0.885810614,-0.044315875,0.35785827,0.94202143,0.059007119,0.450914741,0.954236031,-0.167562857,0.457162619,0.966624856,0.004770243,0.564514756,0.949945092,-0.062860735,0.557595134,0.948981822,0.061356388,0.583825588,0.935241461,-0.071288817,0.574269176,0.934890628,0.066845864,0.591827393,1.000050664,-0.129722714,0.587450504,0.989332557,0.036210373,0
0.161163107,0.960267544,-0.001103871,0.151687101,0.958111525,0.001029628,0.150592178,0.953248501,-0.002601425,0.149491474,0.948378384,-0.000848013,0.155216619,0.971668899,-0.000165363,0.156559885,0.97656399,-0.000480638,0.157910854,0.981335878,-0.001549995,0.154084742,0.941116512,0.00164465,0.165747553,0.984040439,0.000754303,0.170179486,0.946737885,0.000572469,0.174605623,0.964432061,0.000768445,0.204733402,0.890421331,-0.08567895,0.227866188,0.985432982,-0.004421669,0.282250762,0.87606746,-0.150610819,0.302475274,0.975342989,0.061739605,0.284156352,0.957167506,-0.206889585,0.359955847,0.987084627,0.05635611,0.293432742,0.980476022,-0.226557121,0.382116884,0.993381321,0.065348037,0.278604805,0.983654857,-0.225041494,0.378226459,0.991315067,0.058993392,0.278258145,0.977322936,-0.221896231,0.370139927,0.98421514,0.060205754,0.357311755,0.885352075,-0.044294313,0.359232992,0.943209827,0.058784895,0.453623235,0.949222922,-0.166684717,0.459952533,0.966235876,0.001203303,0.564100385,0.95156157,-0.059302878,0.558093369,0.956077397,0.060447555,0.583368719,0.938785553,-0.063390292,0.574965298,0.943365097,0.068485841,0.590416253,1.001959682,-0.120739251,0.587007701,0.998388529,0.040490266,0
0.162269413,0.959298372,-0.001228356,0.152307674,0.957356155,0.000873692,0.151054084,0.952425659,-0.002689312,0.14979507,0.947485507,-0.000884236,0.156035453,0.971400261,-0.000198013,0.157432556,0.976566732,-0.000331844,0.158836842,0.981613398,-0.001572293,0.153680712,0.940156877,0.001475947,0.166160822,0.985127389,0.000766445,0.170912057,0.945704162,0.000471398,0.175628215,0.96401149,0.000694242,0.204068288,0.889578998,-0.082355127,0.227042958,0.987666905,-0.003519247,0.283214509,0.875486016,-0.146238253,0.302977353,0.97551918,0.064395897,0.287148297,0.962138832,-0.197274402,0.357964337,0.983845115,0.051765274,0.296684861,0.986291766,-0.21721673,0.379700392,0.990034282,0.056382202,0.282587856,0.990576982,-0.215639308,0.375618607,0.987584233,0.049550924,0.282218099,0.983065307,-0.213235497,0.367499501,0.980424106,0.051892947,0.35501352,0.884748697,-0.04576825,0.358932197,0.944869936,0.058000829,0.447237492,0.950627804,-0.169083074,0.458234817,0.968106031,-0.015360134,0.560584724,0.95471251,-0.068571657,0.558294117,0.958062172,0.052562881,0.580378413,0.9403404,-0.075858608,0.57545805,0.944982111,0.057065252,0.587090492,1.007977247,-0.133567035,0.587080717,0.997505546,0.018004023,0
0.160882354,0.959256947,-0.001248256,0.151409119,0.956828356,0.000929474,0.150486767,0.951973736,-0.002797023,0.149558634,0.947112024,-0.000907245,0.154366061,0.970725894,-0.000161237,0.155477554,0.975757062,-0.000381656,0.156597152,0.980664253,-0.001583175,0.153824359,0.940625846,0.001721966,0.163720012,0.98425591,0.00077463,0.170271963,0.946513772,0.000537946,0.173937693,0.964292884,0.000688422,0.205799103,0.89024967,-0.088487647,0.226031825,0.98869431,-0.004809099,0.286622405,0.875465274,-0.156997919,0.302073002,0.974521101,0.068877444,0.286272138,0.961999476,-0.204243481,0.357790351,0.983330131,0.067964666,0.29454726,0.986827791,-0.222661063,0.379147261,0.989133,0.078093432,0.279717505,0.988887668,-0.221472606,0.375232756,0.987736106,0.070442215,0.279483229,0.981922805,-0.219383627,0.367137462,0.981052816,0.072618425,0.356565356,0.881549835,-0.045585558,0.359485298,0.941917002,0.059290644,0.450273335,0.943497121,-0.171854272,0.461563021,0.964048624,-0.019331912,0.564912498,0.948250353,-0.068808347,0.562685549,0.955288291,0.055053376,0.586075544,0.934808254,-0.076315664,0.580526948,0.943422914,0.060619917,0.587891579,1.000582099,-0.14200598,0.589829743,0.994155407,0.017663699,0
